FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
9/05/2023 7:29:32,09/05/2023,07:29:32,QC01_1,IMG_0163,1,,Ave_sp,,
9/06/2023 8:25:32,09/06/2023,08:25:32,QC11_2,IMG_0184,1,,Oari,,
17/04/2023 2:49:00,17/04/2023,02:49:49,QC07_1,IMG_0001,1,,Gato_sp,,
18/04/2023 7:16:00,18/04/2023,07:16:34,QC07_1,IMG_0010,3,,Btau,,
18/04/2023 15:47:00,18/04/2023,15:47:41,QC07_1,IMG_0017,1,,Btau,,
18/04/2023 19:45:00,18/04/2023,19:45:47,QC07_1,IMG_0019,1,,Ctho,,
21/04/2023 11:38:00,21/04/2023,11:38:58,QC07_1,IMG_0025,1,,Btau,,
21/04/2023 12:51:00,21/04/2023,12:51:13,QC07_1,IMG_0028,2,,Btau,,
22/04/2023 16:50:00,22/04/2023,16:50:51,QC07_1,IMG_0031,1,,Btau,,
23/04/2023 15:29:00,23/04/2023,15:29:26,QC07_1,IMG_0034,1,,Ecab,,
26/04/2023 14:31:00,26/04/2023,14:31:14,QC07_1,IMG_0040,1,,Btau,,
27/04/2023 7:36:00,27/04/2023,07:36:17,QC07_1,IMG_0043,3,,Btau,,
27/04/2023 9:30:00,27/04/2023,09:30:36,QC07_1,IMG_0070,4,,Oori,,
27/04/2023 11:32:00,27/04/2023,11:32:10,QC07_1,IMG_0073,2,,Btau,,
27/04/2023 17:40:00,27/04/2023,17:40:36,QC07_1,IMG_0076,1,,Btau,,
29/04/2023 3:02:00,29/04/2023,03:02:05,QC07_1,IMG_0079,1,,Ecab,,
29/04/2023 10:43:00,29/04/2023,10:43:53,QC07_1,IMG_0085,2,,Pers_caballo,Pers_trabajando,
1/05/2023 0:25:00,01/05/2023,00:25:28,QC07_1,IMG_0088,1,,Ecab,,
1/05/2023 0:33:00,01/05/2023,00:33:13,QC07_1,IMG_0098,1,,Btau,,
1/05/2023 3:32:00,01/05/2023,03:32:03,QC07_1,IMG_0170,2,,Btau,,
1/05/2023 7:14:00,01/05/2023,07:14:51,QC07_1,IMG_0478,2,,Btau,,
7/05/2023 13:48:00,07/05/2023,13:48:59,QC07_1,IMG_0484,1,,Ecab,,
9/05/2023 9:16:00,09/05/2023,09:16:20,QC07_1,IMG_0487,1,,Btau,,
12/05/2023 7:02:00,12/05/2023,07:02:18,QC07_1,IMG_0498,1,,Btau,,
14/05/2023 7:32:00,14/05/2023,07:32:00,QC07_1,IMG_0514,1,,Btau,,
18/05/2023 13:37:00,18/05/2023,13:37:51,QC07_1,IMG_0520,1,,Ecab,,
19/05/2023 7:39:00,19/05/2023,07:39:25,QC07_1,IMG_0523,1,,Btau,,
28/05/2023 7:06:00,28/05/2023,07:06:28,QC07_1,IMG_0535,1,,Ecab,,
28/05/2023 14:52:00,28/05/2023,14:52:53,QC07_1,IMG_0538,1,,Ave_sp,,
2/06/2023 14:00:00,02/06/2023,14:00:17,QC07_1,IMG_0547,1,,Btau,,
3/06/2023 2:03:00,03/06/2023,02:03:47,QC07_1,IMG_0553,1,,Btau,,
5/06/2023 16:23:00,05/06/2023,16:23:58,QC07_1,IMG_0601,1,,Btau,,
5/06/2023 19:16:00,05/06/2023,19:16:20,QC07_1,IMG_0604,1,,Btau,,
6/06/2023 6:22:00,06/06/2023,06:22:12,QC07_1,IMG_0613,2,,Btau,,
9/06/2023 10:32:00,09/06/2023,10:32:12,QC07_1,IMG_0666,1,,Btau,,
13/06/2023 7:46:00,13/06/2023,07:46:09,QC07_1,IMG_0669,1,,Btau,,
14/06/2023 7:54:00,14/06/2023,07:54:26,QC07_1,IMG_0672,1,,Btau,,
15/06/2023 8:33:00,15/06/2023,08:33:57,QC07_1,IMG_0675,1,,Btau,,
17/06/2023 12:23:00,17/06/2023,12:23:51,QC07_1,IMG_0690,1,,Btau,,
15/04/2023 23:06:00,15/04/2023,23:06:58,QC07_2,IMG_0001,1,,Lwie,,
19/04/2023 1:04:00,19/04/2023,01:04:14,QC07_2,IMG_0016,1,,Ctho,,
19/04/2023 7:29:00,19/04/2023,07:29:30,QC07_2,IMG_0022,1,,Ave_sp,,
19/04/2023 14:47:00,19/04/2023,14:47:10,QC07_2,IMG_0026,1,,Ctho,,
19/04/2023 15:29:00,19/04/2023,15:29:39,QC07_2,IMG_0040,1,,Mgou,,
